"网金社酒店代码"	"对应酒店代码"
"H00000696"	"930857"
"H00000697"	"6205797"
"H00000698"	"2392867"
"H00000699"	"5109210"
"H00000700"	"163983302"
"H00000701"	"957883954"
"H00000702"	"2032040"
"H00000703"	"163484139"
"H00000704"	"2706340"
"H00000705"	"5241417"
"H00000706"	"5515913"
"H00000707"	"4533334"
"H00000708"	"6390900"
"H00000709"	"6979003"
"H00000710"	"163518929"
"H00000711"	"5073023"
"H00000712"	"913220"
"H00000713"	"924685"
"H00000714"	"163981695"
"H00000715"	"2145871"
"H00000716"	"5949655"
"H00000717"	"5138411"
"H00000718"	"4389736"
"H00000719"	"164981541"
"H00000720"	"191750823"
"H00000721"	"163971331"
"H00000722"	"164125642"
"H00000723"	"4512789"
"H00000724"	"165108303"
"H00000725"	"159262190"
"H00000726"	"42360506"
"H00000727"	"5673003"
"H00000728"	"2714126"
"H00000729"	"4533957"
"H00000730"	"6516887"
"H00000731"	"30446"
"H00000732"	"6045071"
"H00000733"	"1839488008"
"H00000734"	"179964445"
"H00000735"	"164017361"
"H00000736"	"164125702"
"H00000737"	"2379479"
"H00000738"	"5897872"
"H00000739"	"4215620"
"H00000740"	"157699317"
"H00000741"	"4274453"
"H00000742"	"4038217"
"H00000743"	"159764243"
"H00000744"	"5888823"
"H00000745"	"164132294"
"H00000746"	"164126478"
"H00000747"	"6105002"
"H00000748"	"164142316"
"H00000749"	"163984764"
"H00000750"	"163275336"
"H00000751"	"163522995"
"H00000752"	"163989529"
"H00000753"	"164059115"
"H00000754"	"5393734"
"H00000755"	"4457034"
"H00000756"	"4117951"
"H00000757"	"164474798"
"H00000758"	"6674470"
"H00000759"	"2388397"
"H00000760"	"164361811"
"H00000761"	"164059964"
"H00000762"	"41777448"
"H00000763"	"164002561"
"H00000764"	"4720285"
"H00000765"	"5824208"
"H00000766"	"164399196"
"H00000767"	"162836819"
"H00000768"	"163461141"
"H00000769"	"91435167"
"H00000770"	"5250426"
"H00000771"	"2712416"
"H00000772"	"164103863"
"H00000773"	"5050150"
"H00000774"	"164182625"
"H00000775"	"6840618"
"H00000776"	"5399695"
"H00000777"	"164211574"
"H00000778"	"1467721129"
"H00000779"	"6737544"
"H00000780"	"1865979"
"H00000781"	"164279930"
"H00000782"	"4613667"
"H00000783"	"2402408"
"H00000784"	"164289195"
"H00000785"	"4534630"
"H00000786"	"5633146"
"H00000787"	"4227150"
"H00000788"	"1237844"
"H00000789"	"42294970"
"H00000790"	"4586015"
"H00000791"	"1450069"
"H00000792"	"5173644"
"H00000793"	"2707809"
"H00000794"	"179310162"
"H00000795"	"193437533"
"H00000796"	"1174395"
"H00000797"	"6070161"
"H00000798"	"6653906"
"H00000799"	"6168743"
"H00000800"	"6614504"
"H00000801"	"184589913"
"H00000802"	"161866374"
"H00000803"	"40642175"
"H00000804"	"6643647"
"H00000805"	"5183994"
"H00000806"	"6285474"
"H00000807"	"4531044"
"H00000808"	"40060675"
"H00000809"	"193763806"
"H00000810"	"150562105"
"H00000811"	"2256365"
"H00000812"	"669266"
"H00000813"	"40191379"
"H00000814"	"52851116"
"H00000815"	"4466769"
"H00000816"	"6075908"
"H00000817"	"2571742"
"H00000818"	"669859877"
"H00000819"	"2590018"
"H00000820"	"4789315"
"H00000821"	"164237251"
"H00000822"	"2551019"
"H00000823"	"2473399"
"H00000824"	"6456306"
"H00000825"	"94643891"
"H00000826"	"191288525"
"H00000827"	"4591210"
"H00000828"	"156440286"
"H00000829"	"5134647"
"H00000830"	"6486338"
"H00000831"	"5200817"
"H00000832"	"4246921"
"H00000833"	"5322759"
"H00000834"	"2366243"
"H00000835"	"40604766"
"H00000836"	"40941380"
"H00000837"	"5164054"
"H00000838"	"5653363"
"H00000839"	"2546865"
"H00000840"	"5618951"
"H00000841"	"5009827"
"H00000842"	"5984927"
"H00000843"	"4126766"
"H00000844"	"6737945"
"H00000845"	"4275993"
"H00000846"	"116252890"
"H00000847"	"1047219"
"H00000848"	"394317"
"H00000849"	"4996371"
"H00000850"	"183996444"
"H00000851"	"164294339"
"H00000852"	"50294473"
"H00000853"	"82625"
"H00000854"	"164192803"
"H00000855"	"5523449"
"H00000856"	"164319290"
"H00000857"	"164211833"
"H00000858"	"6835843"
"H00000859"	"41101387"
"H00000860"	"1976322756"
"H00000861"	"5360917"
"H00000862"	"72756542"
"H00000863"	"195158941"
"H00000864"	"669138403"
"H00000865"	"6032802"
"H00000866"	"4045063"
"H00000867"	"41667101"
"H00000868"	"5628139"
"H00000869"	"191439712"
"H00000870"	"1227819"
"H00000871"	"6115182"
"H00000872"	"4854441"
"H00000873"	"5197863"
"H00000874"	"164205200"
"H00000875"	"156810079"
"H00000876"	"2275466"
"H00000877"	"192654898"
"H00000878"	"2719526"
"H00000879"	"1782896575"
"H00000880"	"4191072"
"H00000881"	"2564665"
"H00000882"	"164400601"
"H00000883"	"190585497"
"H00000884"	"165479962"
"H00000885"	"2473829"
"H00000886"	"2386100"
"H00000887"	"194007237"
"H00000888"	"5687372"
"H00000889"	"5273342"
"H00000890"	"1889002874"
"H00000891"	"5039143"
"H00000892"	"164399195"
"H00000893"	"1346002114"
"H00000894"	"164257013"
"H00000895"	"4683250"
"H00000896"	"1751785"
"H00000897"	"2421648"
"H00000898"	"4524872"
"H00000899"	"371347"
"H00000900"	"2528314"
"H00000901"	"4374699"
"H00000902"	"195015651"
"H00000903"	"1293453012"
"H00000904"	"950400"
"H00000905"	"2082965"
"H00000906"	"2381188"
"H00000907"	"5557996"
"H00000908"	"6977279"
"H00000909"	"5802686"
"H00000910"	"688270401"
"H00000911"	"6159120"
"H00000912"	"195994762"
"H00000913"	"164435829"
"H00000914"	"6932951"
"H00000915"	"164333803"
"H00000916"	"164405205"
"H00000917"	"1254175"
"H00000918"	"4399069"
"H00000919"	"600182553"
"H00000920"	"164145500"
"H00000921"	"163928311"
"H00000922"	"5330185"
"H00000923"	"2427142"
"H00000924"	"5485138"
"H00000925"	"5597885"
"H00000926"	"160820945"
"H00000927"	"164437027"
"H00000928"	"164077551"
"H00000929"	"6036191"
"H00000930"	"177718213"
"H00000931"	"164171204"
"H00000932"	"179084306"
"H00000933"	"2608103"
"H00000934"	"819113015"
"H00000935"	"5824177"
"H00000936"	"5839241"
"H00000937"	"3258287"
"H00000938"	"2548809"
"H00000939"	"6352564"
"H00000940"	"6663405"
"H00000941"	"3258866"
"H00000942"	"150076317"
"H00000943"	"194853059"
"H00000944"	"4957713"
"H00000945"	"2385329"
"H00000946"	"5127159"
"H00000947"	"91202332"
"H00000948"	"1152528"
"H00000949"	"164473203"
